Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
KPOG6561,12-Aug-19,02-Dec-19,11,01-Jan-20,16,2,EB
KPOF0034,12-Aug-19,02-Dec-19,18,01-Jan-20,16,6,EB
KPOF4077,12-Aug-19,02-Dec-19,18,01-Jan-20,16,5,EB
KPOF4041,12-Aug-19,02-Dec-19,22,01-Jan-20,16,5,EB
KPOG6475,12-Aug-19,03-Dec-19,5,01-Jan-20,16,2,EB
KEBEB122,12-Aug-19,03-Dec-19,12,01-Jan-20,16,2,EB
KPOG6427,12-Aug-19,03-Dec-19,13,01-Jan-20,16,2,EB
KPOG1882,12-Aug-19,03-Dec-19,14,01-Jan-20,16,3,EB
KPOG6545,12-Aug-19,03-Dec-19,14,01-Jan-20,16,2,EB
KPOF8467,12-Aug-19,03-Dec-19,16,01-Jan-20,16,4,EB
KPOG2557,12-Aug-19,03-Dec-19,16,01-Jan-20,16,3,EB
KPOG6607,12-Aug-19,03-Dec-19,16,01-Jan-20,16,2,EB
KPOF8382,12-Aug-19,03-Dec-19,17,01-Jan-20,16,4,EB
KPOF8423,12-Aug-19,03-Dec-19,17,01-Jan-20,16,4,EB
KPOG2418,12-Aug-19,03-Dec-19,17,01-Jan-20,16,3,EB
KPOG6351,12-Aug-19,03-Dec-19,17,01-Jan-20,16,2,EB
KPOG6406,12-Aug-19,03-Dec-19,17,01-Jan-20,16,2,EB
KPOG6452,12-Aug-19,03-Dec-19,18,01-Jan-20,16,2,EB
KPOF8335,12-Aug-19,03-Dec-19,19,01-Jan-20,16,4,EB
KPOF8408,12-Aug-19,03-Dec-19,19,01-Jan-20,16,4,EB
KPOF8417,12-Aug-19,03-Dec-19,19,01-Jan-20,16,4,EB
KPOF3611,12-Aug-19,03-Dec-19,21,01-Jan-20,16,5,EB
KPOF8301,12-Aug-19,03-Dec-19,21,01-Jan-20,16,4,EB
KPOF4152,12-Aug-19,03-Dec-19,22,01-Jan-20,16,4,EB
KPOG2632,12-Aug-19,03-Dec-19,22,01-Jan-20,16,3,EB
KPOF8621,12-Aug-19,03-Dec-19,23,01-Jan-20,16,4,EB
KPOG2650,12-Aug-19,03-Dec-19,23,01-Jan-20,16,3,EB
AWFS0863,12-Aug-19,04-Dec-19,12,01-Jan-20,16,12,EB
KPOF8322,12-Aug-19,04-Dec-19,13,01-Jan-20,16,4,EB
KPOG2295,12-Aug-19,04-Dec-19,13,01-Jan-20,16,3,EB
KPOF8340,12-Aug-19,04-Dec-19,14,01-Jan-20,16,4,EB
KPOF8361,12-Aug-19,04-Dec-19,14,01-Jan-20,16,4,EB
KPOG6456,12-Aug-19,04-Dec-19,14,01-Jan-20,16,2,EB
KPOG6642,12-Aug-19,04-Dec-19,14,01-Jan-20,16,2,EB
KPOF8380,12-Aug-19,04-Dec-19,15,01-Jan-20,16,4,EB
KPOG6589,12-Aug-19,04-Dec-19,15,01-Jan-20,16,2,EB
KPOF4278,12-Aug-19,04-Dec-19,16,01-Jan-20,16,5,EB
KPOF8581,12-Aug-19,04-Dec-19,16,01-Jan-20,16,4,EB
KPOG2385,12-Aug-19,04-Dec-19,16,01-Jan-20,16,3,EB
KPOG2425,12-Aug-19,04-Dec-19,16,01-Jan-20,16,3,EB
KPOG2556,12-Aug-19,04-Dec-19,16,01-Jan-20,16,3,EB
