,Run,Total Pigs Sold,Overweight,No Penalty,-10p/kg,-20p/kg,-25p/kg,-30p/kg,-35p/kg,-45p/kg,-50p/kg
0,1,4000,58,3942,0,0,0,0,0,0,0
1,2,4000,63,3937,0,0,0,0,0,0,0
2,3,4000,73,3927,0,0,0,0,0,0,0
3,4,4000,63,3937,0,0,0,0,0,0,0
4,5,4000,65,3935,0,0,0,0,0,0,0
5,6,4000,59,3941,0,0,0,0,0,0,0
6,7,4000,54,3946,0,0,0,0,0,0,0
7,8,4000,64,3936,0,0,0,0,0,0,0
8,9,4000,62,3938,0,0,0,0,0,0,0
9,10,4000,52,3948,0,0,0,0,0,0,0
10,11,4000,52,3948,0,0,0,0,0,0,0
11,12,4000,64,3936,0,0,0,0,0,0,0
12,13,4000,49,3951,0,0,0,0,0,0,0
13,14,4000,68,3932,0,0,0,0,0,0,0
14,15,4000,54,3946,0,0,0,0,0,0,0
15,16,4000,79,3921,0,0,0,0,0,0,0
16,17,4000,57,3943,0,0,0,0,0,0,0
17,18,4000,60,3940,0,0,0,0,0,0,0
18,19,4000,68,3932,0,0,0,0,0,0,0
19,20,4000,65,3935,0,0,0,0,0,0,0
20,21,4000,61,3939,0,0,0,0,0,0,0
21,22,4000,64,3936,0,0,0,0,0,0,0
22,23,4000,70,3930,0,0,0,0,0,0,0
23,24,4000,57,3943,0,0,0,0,0,0,0
24,25,4000,49,3951,0,0,0,0,0,0,0
25,26,4000,60,3940,0,0,0,0,0,0,0
26,27,4000,61,3939,0,0,0,0,0,0,0
27,28,4000,69,3931,0,0,0,0,0,0,0
28,29,4000,52,3948,0,0,0,0,0,0,0
29,30,4000,73,3927,0,0,0,0,0,0,0
30,31,4000,70,3930,0,0,0,0,0,0,0
31,32,4000,69,3931,0,0,0,0,0,0,0
32,33,4000,61,3939,0,0,0,0,0,0,0
33,34,4000,70,3930,0,0,0,0,0,0,0
34,35,4000,55,3945,0,0,0,0,0,0,0
35,36,4000,56,3944,0,0,0,0,0,0,0
36,37,4000,54,3946,0,0,0,0,0,0,0
37,38,4000,71,3929,0,0,0,0,0,0,0
38,39,4000,70,3930,0,0,0,0,0,0,0
39,40,4000,62,3938,0,0,0,0,0,0,0
40,41,4000,60,3940,0,0,0,0,0,0,0
41,42,4000,75,3925,0,0,0,0,0,0,0
42,43,4000,54,3946,0,0,0,0,0,0,0
43,44,4000,60,3940,0,0,0,0,0,0,0
44,45,4000,72,3928,0,0,0,0,0,0,0
45,46,4000,45,3955,0,0,0,0,0,0,0
46,47,4000,67,3933,0,0,0,0,0,0,0
47,48,4000,71,3929,0,0,0,0,0,0,0
48,49,4000,43,3957,0,0,0,0,0,0,0
49,50,4000,51,3949,0,0,0,0,0,0,0
50,51,4000,71,3929,0,0,0,0,0,0,0
51,52,4000,59,3941,0,0,0,0,0,0,0
52,53,4000,67,3933,0,0,0,0,0,0,0
53,54,4000,76,3924,0,0,0,0,0,0,0
54,55,4000,62,3938,0,0,0,0,0,0,0
55,56,4000,62,3938,0,0,0,0,0,0,0
56,57,4000,69,3931,0,0,0,0,0,0,0
57,58,4000,62,3938,0,0,0,0,0,0,0
58,59,4000,64,3936,0,0,0,0,0,0,0
59,60,4000,48,3952,0,0,0,0,0,0,0
60,61,4000,70,3930,0,0,0,0,0,0,0
61,62,4000,52,3948,0,0,0,0,0,0,0
62,63,4000,62,3938,0,0,0,0,0,0,0
63,64,4000,62,3938,0,0,0,0,0,0,0
64,65,4000,55,3945,0,0,0,0,0,0,0
65,66,4000,54,3946,0,0,0,0,0,0,0
66,67,4000,62,3938,0,0,0,0,0,0,0
67,68,4000,76,3924,0,0,0,0,0,0,0
68,69,4000,63,3937,0,0,0,0,0,0,0
69,70,4000,59,3941,0,0,0,0,0,0,0
70,71,4000,81,3919,0,0,0,0,0,0,0
71,72,4000,58,3942,0,0,0,0,0,0,0
72,73,4000,62,3938,0,0,0,0,0,0,0
73,74,4000,53,3947,0,0,0,0,0,0,0
74,75,4000,47,3953,0,0,0,0,0,0,0
75,76,4000,63,3937,0,0,0,0,0,0,0
76,77,4000,61,3939,0,0,0,0,0,0,0
77,78,4000,61,3939,0,0,0,0,0,0,0
78,79,4000,54,3946,0,0,0,0,0,0,0
79,80,4000,55,3945,0,0,0,0,0,0,0
80,81,4000,54,3946,0,0,0,0,0,0,0
81,82,4000,61,3939,0,0,0,0,0,0,0
82,83,4000,66,3934,0,0,0,0,0,0,0
83,84,4000,64,3936,0,0,0,0,0,0,0
84,85,4000,70,3930,0,0,0,0,0,0,0
85,86,4000,71,3929,0,0,0,0,0,0,0
86,87,4000,59,3941,0,0,0,0,0,0,0
87,88,4000,57,3943,0,0,0,0,0,0,0
88,89,4000,68,3932,0,0,0,0,0,0,0
89,90,4000,54,3946,0,0,0,0,0,0,0
90,91,4000,59,3941,0,0,0,0,0,0,0
91,92,4000,62,3938,0,0,0,0,0,0,0
92,93,4000,72,3928,0,0,0,0,0,0,0
93,94,4000,66,3934,0,0,0,0,0,0,0
94,95,4000,55,3945,0,0,0,0,0,0,0
95,96,4000,59,3941,0,0,0,0,0,0,0
96,97,4000,69,3931,0,0,0,0,0,0,0
97,98,4000,54,3946,0,0,0,0,0,0,0
98,99,4000,65,3935,0,0,0,0,0,0,0
99,100,4000,52,3948,0,0,0,0,0,0,0
100,101,4000,60,3940,0,0,0,0,0,0,0
101,102,4000,57,3943,0,0,0,0,0,0,0
102,103,4000,66,3934,0,0,0,0,0,0,0
103,104,4000,57,3943,0,0,0,0,0,0,0
104,105,4000,73,3927,0,0,0,0,0,0,0
105,106,4000,59,3941,0,0,0,0,0,0,0
106,107,4000,70,3930,0,0,0,0,0,0,0
107,108,4000,58,3942,0,0,0,0,0,0,0
108,109,4000,56,3944,0,0,0,0,0,0,0
109,110,4000,63,3937,0,0,0,0,0,0,0
110,111,4000,60,3940,0,0,0,0,0,0,0
111,112,4000,57,3943,0,0,0,0,0,0,0
112,113,4000,58,3942,0,0,0,0,0,0,0
113,114,4000,71,3929,0,0,0,0,0,0,0
114,115,4000,71,3929,0,0,0,0,0,0,0
115,116,4000,66,3934,0,0,0,0,0,0,0
116,117,4000,75,3925,0,0,0,0,0,0,0
117,118,4000,64,3936,0,0,0,0,0,0,0
118,119,4000,58,3942,0,0,0,0,0,0,0
119,120,4000,62,3938,0,0,0,0,0,0,0
120,121,4000,60,3940,0,0,0,0,0,0,0
121,122,4000,40,3960,0,0,0,0,0,0,0
122,123,4000,75,3925,0,0,0,0,0,0,0
123,124,4000,73,3927,0,0,0,0,0,0,0
124,125,4000,62,3938,0,0,0,0,0,0,0
125,126,4000,70,3930,0,0,0,0,0,0,0
126,127,4000,83,3917,0,0,0,0,0,0,0
127,128,4000,56,3944,0,0,0,0,0,0,0
128,129,4000,59,3941,0,0,0,0,0,0,0
129,130,4000,54,3946,0,0,0,0,0,0,0
