,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,liveWeight
11229,11230.0,98.79837082954465,12.62216266474851,2.0,169.0,284.0,1.0,44.0,4.0,0.0,0.019593388535713824,14819.755624431698,131.032322055099
2736,2737.0,98.53248379084948,12.590983038850421,1.0,43.0,157.0,1.0,4.0,1.0,27.0,0.019561007346465053,14779.872568627423,130.67968672526456
11972,11973.0,98.40870649388233,12.576468116148467,1.0,183.0,297.0,1.0,28.0,9.0,0.0,0.0195459389225478,14761.30597408235,130.51552585395535
6517,6518.0,97.88351534867459,12.514880821359947,1.0,99.0,216.0,1.0,19.0,6.0,0.0,0.019482042891673802,14682.527302301189,129.81898587357372
2716,2717.0,97.4613313392363,12.465372806456172,1.0,43.0,154.0,1.0,2.0,0.0,30.0,0.019430723452473413,14619.199700885445,129.25906013161313
9782,9783.0,97.37063546188374,12.454737223991419,3.0,141.0,256.0,1.0,75.0,4.0,0.0,0.019419703657578512,14605.59531928256,129.13877382212698
9099,9100.0,97.2929670107754,12.44562932139667,1.0,141.0,255.0,1.0,6.0,1.0,0.0,0.019410268076162744,14593.94505161631,129.03576526628038
5967,5968.0,97.16009913374033,12.430048378752163,2.0,85.0,201.0,1.0,55.0,8.0,0.0,0.019394129407665543,14574.01487006105,128.85954792273253
6824,6825.0,97.11196696335432,12.424404090585039,2.0,99.0,215.0,1.0,49.0,6.0,0.0,0.019388283951870266,14566.795044503147,128.7957121529898
10917,10918.0,97.00842713750106,12.412262344031689,1.0,169.0,284.0,1.0,11.0,3.0,0.0,0.01937571101117094,14551.264070625159,128.6583914290465
709,710.0,97.00203658528727,12.411512946737686,3.0,1.0,117.0,1.0,71.0,3.0,67.0,0.019374935068990264,14550.30548779309,128.64991589560645
12100,12101.0,96.99568557399823,12.41076818626708,2.0,183.0,296.0,1.0,42.0,3.0,0.0,0.019374163935745474,14549.352836099735,128.64149280371117
37,38.0,96.97314220876457,12.408124606128993,1.0,1.0,116.0,1.0,4.0,1.0,68.0,0.019371426806795124,14545.971331314686,128.61159444133233
1738,1739.0,96.93899338859913,12.404120095631434,3.0,15.0,130.0,1.0,84.0,7.0,54.0,0.019367280775296966,14540.84900828987,128.56630422891132
7978,7979.0,96.9284737728157,12.402886497760967,3.0,113.0,228.0,1.0,74.0,4.0,0.0,0.019366003626881463,14539.271065922356,128.55235248384045
9426,9427.0,96.91474650634699,12.401276750120774,2.0,141.0,257.0,1.0,40.0,3.0,0.0,0.019364337081211526,14537.211975952048,128.5341465601419
4877,4878.0,96.91392681000404,12.401180627250517,2.0,71.0,186.0,1.0,38.0,2.0,0.0,0.019364237567904587,14537.089021500606,128.53305942971357
26,27.0,96.86515330247452,12.395461131761115,1.0,1.0,117.0,1.0,3.0,0.0,67.0,0.01935831656628619,14529.772995371179,128.46837308020494
11956,11957.0,96.82586236689428,12.390853623705853,1.0,183.0,298.0,1.0,26.0,8.0,0.0,0.019353547058446864,14523.879355034143,128.4162630860667
