,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
22819,22820.0,34.96073714735149,5.136150762107577,3.0,106.0,220.0,,302.0,0.0,0.0,0.02216820185456208,4370.092143418936,1.0,46.36702539436536,131.0
14150,14151.0,34.48777515647796,5.080688194199713,2.0,71.0,186.0,,135.0,0.0,0.0,0.022105219233039628,4310.971894559745,1.0,45.73975484944026,131.0
4957,4958.0,34.08237344520302,5.03314817962048,3.0,1.0,112.0,,310.0,0.0,20.0,0.022050960268415323,4260.296680650377,1.0,45.202086797351484,131.0
9504,9505.0,33.97188733145151,5.020191866629025,2.0,36.0,151.0,,220.0,0.0,0.0,0.022036128116202564,4246.485916431439,1.0,45.05555348998874,131.0
10185,10186.0,33.90679289691963,5.0125584741676565,3.0,36.0,151.0,,262.0,0.0,0.0,0.02202738046810122,4238.349112114955,1.0,44.96922134869978,131.0
2592,2593.0,33.888127566286734,5.010369657333056,2.0,1.0,113.0,,163.0,0.0,19.0,0.022024870899682608,4236.015945785842,1.0,44.94446626828479,131.0
21997,21998.0,33.79390716626786,4.999320766650103,2.0,106.0,223.0,,250.0,0.0,0.0,0.022012194372866372,4224.238395783482,1.0,44.819505525554185,131.0
6279,6280.0,33.7854758832437,4.99833206012336,1.0,36.0,149.0,,18.0,0.0,0.0,0.022011059322663243,4223.1844854054625,1.0,44.808323452577845,131.0
17068,17069.0,33.728764218886624,4.9916816852597,3.0,71.0,185.0,,317.0,0.0,0.0,0.0220034216126674,4216.095527360828,1.0,44.73310904361621,131.0
22467,22468.0,33.634531861233604,4.980631392347587,3.0,106.0,223.0,,280.0,0.0,0.0,0.021990719252206054,4204.316482654201,1.0,44.60813244195438,131.0
12532,12533.0,33.58609077658455,4.974950878905235,1.0,71.0,185.0,,34.0,0.0,0.0,0.021984183860557376,4198.2613470730685,1.0,44.543886971597544,131.0
17090,17091.0,33.55285754016493,4.971053735652101,3.0,71.0,188.0,,319.0,0.0,0.0,0.021979698009521077,4194.107192520616,1.0,44.499811061226694,131.0
18434,18435.0,33.51857463163666,4.967033501089878,1.0,106.0,222.0,,28.0,0.0,0.0,0.021975068579425144,4189.821828954583,1.0,44.45434301278072,131.0
11675,11676.0,33.49448144834684,4.964208179309029,3.0,36.0,150.0,,355.0,0.0,0.0,0.021971813977148313,4186.8101810433545,1.0,44.42238918878891,131.0
17305,17306.0,33.4794151606065,4.962441409414106,3.0,71.0,185.0,,332.0,0.0,0.0,0.02196977827912593,4184.926895075812,1.0,44.40240737480968,131.0
12278,12279.0,33.46517598426973,4.960771631927184,1.0,71.0,185.0,,18.0,0.0,0.0,0.021967853994137032,4183.146998033716,1.0,44.383522525556664,131.0
22203,22204.0,33.409230426241244,4.954211095623691,3.0,106.0,218.0,,263.0,0.0,0.0,0.021960290266768333,4176.153803280155,1.0,44.309324172733746,131.0
13448,13449.0,33.35445864537931,4.947788203987349,1.0,71.0,184.0,,91.0,0.0,0.0,0.02195288022286328,4169.307330672414,1.0,44.236682553553464,131.0
19191,19192.0,33.31611960744523,4.943292321578249,1.0,106.0,223.0,,75.0,0.0,0.0,0.02194769039714873,4164.514950930654,1.0,44.18583502313691,131.0
1506,1507.0,33.265901594089364,4.937403434036137,1.0,1.0,113.0,,95.0,0.0,19.0,0.021940888857147393,4158.237699261171,1.0,44.11923288340764,131.0
23135,23136.0,33.23683016526786,4.9339943311350485,3.0,106.0,221.0,,321.0,0.0,0.0,0.021936949494057986,4154.603770658483,1.0,44.080676611761085,131.0
7031,7032.0,33.2321480132901,4.933445271851148,1.0,36.0,152.0,,65.0,0.0,0.0,0.021936314900748523,4154.018501661262,1.0,44.074466861127455,131.0
1722,1723.0,33.21660816431521,4.931622969117146,1.0,1.0,117.0,,108.0,0.0,15.0,0.02193420845171154,4152.076020539402,1.0,44.05385698185041,131.0
4659,4660.0,33.1941453715815,4.928988837429116,3.0,1.0,119.0,,292.0,0.0,13.0,0.021931162873116573,4149.268171447688,1.0,44.02406547955106,131.0
13091,13092.0,33.17294572621264,4.926502830533041,1.0,71.0,186.0,,69.0,0.0,0.0,0.021928287780360788,4146.61821577658,1.0,43.9959492390088,131.0
16071,16072.0,33.16833055128229,4.925961625408907,3.0,71.0,184.0,,255.0,0.0,0.0,0.021927661771058538,4146.0413189102865,1.0,43.989828317350515,131.0
16575,16576.0,33.15891101123129,4.924857029500947,3.0,71.0,185.0,,286.0,0.0,0.0,0.021926383979399805,4144.8638764039115,1.0,43.97733555866219,131.0
4066,4067.0,33.151732330700774,4.924015211206676,3.0,1.0,115.0,,255.0,0.0,17.0,0.021925410067618775,4143.966541337597,1.0,43.96781476220262,131.0
16642,16643.0,33.1224688800918,4.920583590594582,3.0,71.0,184.0,,291.0,0.0,0.0,0.021921439079159433,4140.308610011475,1.0,43.9290038197504,131.0
5182,5183.0,33.091006223806254,4.916894076966697,3.0,1.0,116.0,,324.0,0.0,16.0,0.021917168053847656,4136.375777975782,1.0,43.88727615889423,131.0
7233,7234.0,33.07779014521525,4.915344274507994,1.0,36.0,150.0,,78.0,0.0,0.0,0.021915373485708396,4134.723768151906,1.0,43.86974820320325,131.0
12498,12499.0,33.05944603237453,4.913193125739657,1.0,71.0,189.0,,32.0,0.0,0.0,0.021912882109392587,4132.430754046816,1.0,43.84541914108028,131.0
10107,10108.0,33.03428134536587,4.910242152534558,3.0,36.0,149.0,,257.0,0.0,0.0,0.021909463481440346,4129.285168170733,1.0,43.812044224623165,131.0
680,681.0,33.00168590461163,4.9064198013071785,1.0,1.0,116.0,,43.0,0.0,16.0,0.0219050337885107,4125.210738076454,1.0,43.76881419709765,131.0
