,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
4800,4801.0,68.26375176016948,9.041476655396789,3.0,1.0,116.0,,301.0,0.0,15.0,0.022306770428676494,8532.968970021186,1.0,90.53547978802318,130.0
20148,20149.0,68.19091413192058,9.032935246190647,2.0,106.0,224.0,,135.0,0.0,0.0,0.0222935882593484,8523.864266490073,1.0,90.43887815904586,130.0
19562,19563.0,68.04778793927629,9.016151347416313,1.0,106.0,220.0,,98.0,0.0,0.0,0.022267669011272407,8505.973492409536,1.0,90.24905562238234,130.0
13764,13765.0,67.49609074434576,8.951455782595346,1.0,71.0,187.0,,111.0,0.0,0.0,0.022167555821048176,8437.011343043221,1.0,89.51736172990155,130.0
17100,17101.0,67.09203474661332,8.904073575049607,3.0,71.0,186.0,,319.0,0.0,0.0,0.022094024105832055,8386.504343326666,1.0,88.98147844378424,130.0
8425,8426.0,67.0223843147833,8.895905917014233,2.0,36.0,149.0,,152.0,0.0,0.0,0.022081330551761053,8377.798039347912,1.0,88.88910386576033,130.0
19588,19589.0,67.0179545340096,8.895386452402448,1.0,106.0,221.0,,100.0,0.0,0.0,0.0220805230557632,8377.244316751201,1.0,88.88322882494643,130.0
16137,16138.0,66.96330944074518,8.888978416969383,3.0,71.0,188.0,,259.0,0.0,0.0,0.0220705600998142,8370.413680093146,1.0,88.81075522645249,130.0
2573,2574.0,66.88453365202726,8.879740660837664,2.0,1.0,120.0,,161.0,0.0,11.0,0.02205619170086996,8360.566706503407,1.0,88.70627805308655,130.0
7338,7339.0,66.79205689750968,8.868896241251521,1.0,36.0,155.0,,84.0,0.0,0.0,0.02203931536140923,8349.00711218871,1.0,88.583629837546,130.0
435,436.0,66.7570315809532,8.864788947144397,1.0,1.0,115.0,,28.0,0.0,16.0,0.022032920964504304,8344.628947619149,1.0,88.5371771630679,130.0
14491,14492.0,66.74230856148787,8.863062431097312,2.0,71.0,184.0,,156.0,0.0,0.0,0.022030232640478833,8342.788570185985,1.0,88.51765061205289,130.0
9742,9743.0,66.62848610406273,8.84971487696781,2.0,36.0,150.0,,234.0,0.0,0.0,0.02200944109321774,8328.560763007841,1.0,88.36669244570655,130.0
9055,9056.0,66.61365973481121,8.847976241459445,2.0,36.0,151.0,,191.0,0.0,0.0,0.02200673172324437,8326.707466851401,1.0,88.34702882600956,130.0
1807,1808.0,66.55923814321079,8.841594415270373,1.0,1.0,116.0,,113.0,0.0,15.0,0.021996784564869667,8319.90476790135,1.0,88.27485164882069,130.0
21914,21915.0,66.54883634008648,8.840374632870775,2.0,106.0,220.0,,245.0,0.0,0.0,0.02199488294021253,8318.60454251081,1.0,88.26105615396085,130.0
