,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,aliveBoolean,liveWeight,deathDate
15364,15365.0,201.23017278558876,24.633975202621407,2.0,71.0,186.0,,211.0,0.0,0.0,1.435820543001515,11000.0,1.0,266.8835182832742,181.0
14487,14488.0,195.5169419469855,23.964004973567484,2.0,71.0,187.0,,156.0,0.0,0.0,1.3939573980903726,11000.0,1.0,259.3062890543574,181.0
17263,17264.0,194.07867062543187,23.79534401902805,3.0,71.0,186.0,,329.0,0.0,0.0,1.383418604462622,11000.0,1.0,257.39876740773457,181.0
4273,4274.0,190.75786349191512,23.40592479569591,3.0,1.0,117.0,,268.0,0.0,65.0,1.3590857122376065,11000.0,1.0,252.9945139150068,181.0
22070,22071.0,190.5332794354004,23.37958862339068,3.0,106.0,223.0,,255.0,0.0,0.0,1.3574400943432479,11000.0,1.0,252.69665707612785,181.0
11531,11532.0,190.4088663740993,23.36499914686997,3.0,36.0,150.0,,346.0,0.0,32.0,1.356528469701916,11000.0,1.0,252.5316530160468,181.0
3338,3339.0,188.22245891846856,23.108606932860944,2.0,1.0,117.0,,209.0,0.0,65.0,1.3405077811045956,11000.0,1.0,249.6319083799318,181.0
22540,22541.0,187.74862938590422,23.053042631429314,3.0,106.0,219.0,,284.0,0.0,0.0,1.3370358411558554,11000.0,1.0,249.00348724920983,181.0
26733,26734.0,187.44462819172747,23.017393494286267,2.0,141.0,255.0,,171.0,0.0,0.0,1.3348083018870076,11000.0,1.0,248.60030264154838,181.0
30641,30642.0,186.33249716276066,22.886977850097622,1.0,176.0,292.0,,41.0,0.0,0.0,1.3266592696246953,11000.0,1.0,247.12532780206985,181.0
23329,23330.0,185.9007392818155,22.836347141385808,3.0,106.0,220.0,,334.0,0.0,0.0,1.3234956056231626,11000.0,1.0,246.55270461779244,181.0
25569,25570.0,185.74270241623086,22.817814721109826,1.0,141.0,254.0,,99.0,0.0,0.0,1.3223376058167187,11000.0,1.0,246.34310665282607,181.0
2208,2209.0,185.54806226888542,22.794989964368156,2.0,1.0,113.0,,139.0,0.0,69.0,1.3209113990128918,11000.0,1.0,246.08496322133342,181.0
35842,35843.0,185.06839704681897,22.738741332416218,3.0,176.0,291.0,,366.0,0.0,0.0,1.3173966986152599,11000.0,1.0,245.44880244936203,181.0
30344,30345.0,184.70561567911997,22.696199253708052,1.0,176.0,289.0,,22.0,0.0,0.0,1.314738453325322,11000.0,1.0,244.96766005188326,181.0
27644,27645.0,184.34086574246075,22.653426327930255,2.0,141.0,254.0,,228.0,0.0,0.0,1.312065783537236,11000.0,1.0,244.48390682023972,181.0
21831,21832.0,184.27758266437695,22.646005346787227,2.0,106.0,218.0,,240.0,0.0,0.0,1.3116020829196546,11000.0,1.0,244.39997700845748,181.0
18674,18675.0,183.98413762149528,22.611594091903953,1.0,106.0,221.0,,43.0,0.0,0.0,1.309451892825705,11000.0,1.0,244.0107926014526,181.0
34320,34321.0,183.25879243156692,22.526535445269914,3.0,176.0,293.0,,271.0,0.0,0.0,1.3041369962891607,11000.0,1.0,243.04879632833809,181.0
16399,16400.0,182.8822527461643,22.482379977653842,3.0,71.0,187.0,,275.0,0.0,0.0,1.3013779382605062,11000.0,1.0,242.5494068251516,181.0
11376,11377.0,182.86972885546453,22.480911345603467,3.0,36.0,151.0,,337.0,0.0,31.0,1.3012861706659475,11000.0,1.0,242.5327968905365,181.0
17495,17496.0,182.08561342472086,22.388960922177468,3.0,71.0,185.0,,344.0,0.0,0.0,1.29554064088926,11000.0,1.0,241.49285600095607,181.0
