"[1, 257]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,rev,sold,over
"[2, 514]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,317747809,27242,14906
"[3, 771]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,315691803,26985,14649
"[4, 1028]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,321936355,27756,15420
"[5, 1285]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,314540428,26985,15420
"[6, 1542]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,309639815,26214,13878
"[7, 1800]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,314639824,27000,14400
"[8, 2057]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,328528186,28798,16456
"[9, 2314]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,324207188,27768,13884
"[10, 2571]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,298691068,25710,15426
"[11, 2828]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,334624807,28280,14140
"[12, 3085]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,322094020,27765,15425
"[13, 3342]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,314388428,26736,13368
"[14, 3600]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,337630498,28800,14400
"[15, 3857]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,326715098,26999,15428
"[16, 4114]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,334860134,28798,16456
"[17, 4371]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,345889737,30597,17484
"[18, 4628]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,334589659,27768,13884
"[19, 4885]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,334421653,29310,14657
"[20, 5142]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,292350998,25710,14379
"[21, 5400]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,322901526,27000,16201
"[22, 5657]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,334690324,28285,11314
"[23, 5914]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,334670074,29570,17742
"[24, 6171]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,302987154,24684,12353
"[25, 6428]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,296086083,25712,19284
"[26, 6685]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,297740134,26740,13370
"[27, 6942]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,322548019,27768,13886
"[28, 7200]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,354625371,28800,14791
"[29, 7457]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,260032760,22371,14914
"[30, 7714]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,275133761,23142,15428
"[31, 7971]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,357550298,31884,15942
"[32, 8228]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,379886598,32912,16471
"[33, 8485]",<function CalculateWeightLogistic at 0x000001CCC8E098B0>,318979946,25455,9717
