Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
30/06/2020,61,7731.034483,126.7382702,95.56065574,10.87
25/06/2020,6,728.3819629,121.3969938,91.53333333,11.33
16/07/2020,118,15462.06897,131.0344828,98.8,11.22
16/07/2020,212,27619.62865,130.2812672,98.23207547,12.94
14/07/2020,56,7160.742706,127.8704055,96.41428571,11.8
09/07/2020,135,17311.67109,128.2346006,96.68888889,10.66
06/07/2020,72,9158.222812,127.1975391,95.90694444,12.07
24/07/2020,25,3235.941645,129.4376658,97.596,10.52
24/07/2020,210,27038.46154,128.7545788,97.08095238,12.36
21/07/2020,90,11588.72679,128.763631,97.08777778,12.07
30/07/2020,90,10616.18037,117.9575597,88.94,10.69
28/07/2020,218,28220.68966,129.4527048,97.60733945,12.22
30/07/2020,219,23981.16711,109.5030462,82.5652968,11.08
29/07/2020,218,26072.81167,119.6000535,90.17844037,11.17
