Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
10/06/2020,45,5572.546419,123.8343649,93.37111111,12.27
18/06/2020,90,11177.71883,124.1968759,93.64444444,11.92
01/07/2020,200,24884.21751,124.4210875,93.8135,11.89
22/06/2020,200,24477.0557,122.3852785,92.2785,11.58
25/06/2020,160,19632.22812,122.7014257,92.516875,11.31
15/07/2020,207,24430.6366,118.0223991,88.98888889,12.07
14/07/2020,202,22419.49602,110.9876041,83.68465347,11.26
13/07/2020,200,23167.10875,115.8355438,87.34,11.27
06/07/2020,201,25521.75066,126.9738839,95.73830846,12.36
08/07/2020,156,19611.67109,125.7158403,94.78974359,12.62
10/07/2020,200,24809.28382,124.0464191,93.531,12.33
