Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
05/11/2020,100,12855.70292,128.5570292,96.932,11.02
11/11/2020,161,20279.84085,125.9617444,94.97515528,11.14
12/11/2020,58,7330.371353,126.385713,95.29482759,11.05
18/11/2020,183,23728.77984,129.6654636,97.76775956,12.05
20/11/2020,181,22976.65782,126.9428609,95.71491713,11.68
24/11/2020,196,25591.11406,130.5669085,98.44744898,11.99
23/11/2020,180,23284.88064,129.360448,97.53777778,11.74
30/11/2020,180,23488.85942,130.4936634,98.39222222,11.32
04/12/2020,139,17688.85942,127.2579814,95.95251799,12.42
02/12/2020,88,11227.32095,127.5831927,96.19772727,12.81
30/11/2020,180,23179.04509,128.7724727,97.09444444,12.11
05/11/2020,180,21461.53846,119.2307692,89.9,
07/12/2020,89,10035.51724,112.7586207,85.02,
08/12/2020,44,4996.976127,113.5676393,85.63,
