Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
16/07/2020,60,7180.901857,119.6816976,90.24,11.65
27/07/2020,210,26349.4695,125.4736643,94.60714286,11.75
10/08/2020,105,13161.80371,125.3505116,94.51428571,12
12/08/2020,180,22307.95756,123.9330976,93.44555556,12.19
05/08/2020,210,25858.48806,123.1356574,92.84428571,12.67
03/08/2020,209,26510.47745,126.8443897,95.64066986,12.3
21/08/2020,384,47114.85411,122.6949326,92.51197917,11.49
19/08/2020,190,23472.9443,123.5418121,93.15052632,11.49
17/08/2020,180,21970.02653,122.0557029,92.03,11.72
24/08/2020,190,21312.33422,112.1701801,84.57631579,10.73
