Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
13/05/2020,7,901.193634,128.7419477,97.07142857,12
22/05/2020,60,7770.026525,129.5004421,97.64333333,11.72
28/05/2020,54,6920.291777,128.1535514,96.62777778,11.83
27/05/2020,220,27675.86207,125.799373,94.85272727,12.08
02/06/2020,220,28213.7931,128.2445141,96.69636364,10.81
04/06/2020,220,28121.22016,127.823728,96.37909091,12.08
12/06/2020,101,13077.32095,129.4784253,97.62673267,12.03
10/06/2020,218,27966.04775,128.2846227,96.7266055,12.47
16/06/2020,224,28490.84881,127.1912893,95.90223214,12
15/06/2020,221,27712.06897,125.3939772,94.54705882,11.06
17/06/2020,216,24998.93899,115.7358287,87.26481481,11.64
15/06/2020,225,25609.28382,113.8190392,85.81955556,10.67
