Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
23/10/2020,114,13753.5809,120.6454465,90.96666667,10.81
28/10/2020,45,5645.490716,125.4553492,94.59333333,10.27
03/11/2020,159,20239.65517,127.2934288,95.97924528,10.74
06/11/2020,250,30882.75862,123.5310345,93.1424,10.61
13/11/2020,180,22713.52785,126.1862658,95.14444444,10.66
13/11/2020,108,13513.39523,125.1240299,94.34351852,10.67
13/11/2020,180,22767.77188,126.4876216,95.37166667,12.45
17/11/2020,402,47792.8382,118.8876572,89.64129353,10.55
16/11/2020,202,23667.50663,117.1658744,88.34306931,9.73
18/11/2020,171,17396.9496,101.7365474,76.70935673,9.57
16/11/2020,182,20605.30504,113.2159618,85.36483516,10.74
