Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
02/10/2020,17,2168.83,127.58,96.19,11.06
09/10/2020,180,21806.50,121.15,91.35,12.83
15/10/2020,182,22617.51,124.27,93.70,11.66
15/10/2020,76,9410.08,123.82,93.36,12.96
21/10/2020,189,24257.43,128.35,96.77,11.6
30/10/2020,180,23369.63,129.83,97.89,13.73
02/11/2020,200,25678.12,128.39,96.81,12.03
04/11/2020,90,11617.24,129.08,97.33,12.03
04/11/2020,110,14160.74,128.73,97.07,12.55
02/11/2020,180,22505.31,125.03,94.27,12.94
11/11/2020,125,15783.82,126.27,95.21,11.94
10/11/2020,180,21353.98,118.63,89.45,11.25
10/11/2020,180,20577.59,114.32,86.20,11.68
