Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2
21/08/2020,6,738.5941645,123.0990274,92.81666667,11.5
25/08/2020,6,792.9708223,132.1618037,99.65,10.83
27/08/2020,26,3209.416446,123.4390941,93.07307692,12.73
02/09/2020,159,20260.2122,127.4227182,96.07672956,11.3
04/09/2020,180,21952.51989,121.9584439,91.95666667,11.69
10/09/2020,40,5134.615385,128.3653846,96.7875,11.48
09/09/2020,35,4418.037135,126.2296324,95.17714286,11.11
10/09/2020,81,10116.71088,124.8976651,94.17283951,13.12
15/09/2020,131,16858.62069,128.691761,97.03358779,11.39
18/09/2020,180,22199.33687,123.3296493,92.99055556,11.97
16/09/2020,180,21951.45889,121.9525494,91.95222222,11.79
14/09/2020,180,21963.39523,122.0188624,92.00222222,10.83
21/09/2020,180,21339.12467,118.5506926,89.38722222,10.47
22/09/2020,180,21214.72149,117.8595638,88.86611111,10.91
23/09/2020,113,13152.25464,116.391634,87.75929204,10.43
21/09/2020,180,19604.77454,108.9154141,82.12222222,10.21
