pol,rev
"[2, 514]",317747809.4
"[3, 771]",315691803.1
"[4, 1028]",321936355.4
"[5, 1285]",314540428.5
"[6, 1542]",309639814.8
"[7, 1800]",314639823.9
"[8, 2057]",328528185.6
"[9, 2314]",324207188.2
"[10, 2571]",298691068.4
"[11, 2828]",334624806.7
"[12, 3085]",322094019.8
"[13, 3342]",314388428
"[14, 3600]",337630498
"[15, 3857]",326715098
"[16, 4114]",334860133.5
"[17, 4371]",345889736.9
"[18, 4628]",334589659
"[19, 4885]",334421653.4
"[20, 5142]",292350997.8
"[21, 5400]",322901525.9
"[22, 5657]",334690324.4
"[23, 5914]",334670073.6
"[24, 6171]",302987153.8
"[25, 6428]",296086083.2
"[26, 6685]",297740134.2
"[27, 6942]",322548019.4
"[28, 7200]",354625371
"[29, 7457]",260032760.4
"[30, 7714]",275133760.6
"[31, 7971]",357550297.6
"[32, 8228]",379886598.1
"[33, 8485]",318979946.5
"[34, 8742]",300106721.1
"[35, 9000]",314936060.1
"[36, 9257]",329792265.6
"[37, 9514]",240326136.9
"[38, 9771]",331796813.3
"[39, 10028]",349618507.6
"[40, 10285]",349399338.1
"[41, 10542]",344746969.3
"[42, 10800]",367467060.5
"[43, 11057]",260171387.1
"[44, 11314]",272410244.7
"[45, 11571]",284410754
"[46, 11828]",296627853.6
"[47, 12085]",309186766.7
"[48, 12342]",321506119.5
"[49, 12600]",322761955.4
"[50, 12857]",282854000
"[51, 13114]",399388159
"[52, 13371]",264090733.1
"[53, 13628]",273348733.5
"[54, 13885]",285799226
"[55, 14142]",310461031.5
"[56, 14400]",330554299.6
"[57, 14657]",341987631.1
"[58, 14914]",353555201.9
"[59, 15171]",366090659.6
"[60, 15428]",378046772.3
"[61, 15685]",390158895.7
"[62, 15942]",402659993.9
"[63, 16200]",415211085.5
"[64, 16457]",427485005.2
"[65, 16714]",250929329.6
"[66, 16971]",232223883.3
"[67, 17228]",189508000
"[68, 17485]",192335000
"[69, 17742]",195162000
"[70, 18000]",198000000
