Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
KPWK9573,07-Oct-19,27-Jan-20,14,04-Mar-20,14,5,HW
ZNEZ2479,07-Oct-19,27-Jan-20,18,04-Mar-20,14,3,HW
KPWN3234,07-Oct-19,27-Jan-20,20,04-Mar-20,14,4,HW
ZNEZ3007,07-Oct-19,27-Jan-20,20,04-Mar-20,14,3,HW
KPWN7406,07-Oct-19,28-Jan-20,12,04-Mar-20,14,2,HW
ZNEZ1560,07-Oct-19,28-Jan-20,14,04-Mar-20,14,4,HW
ZNEZ3176,07-Oct-19,28-Jan-20,14,04-Mar-20,14,3,HW
KWFJ9453,07-Oct-19,28-Jan-20,16,04-Mar-20,14,9,HW
ZNEZ1621,07-Oct-19,28-Jan-20,17,04-Mar-20,14,4,HW
KPWK9664,08-Oct-19,28-Jan-20,19,04-Mar-20,14,5,HW
KPWN0467,07-Oct-19,28-Jan-20,19,04-Mar-20,14,5,HW
KPWN3463,07-Oct-19,28-Jan-20,19,04-Mar-20,14,4,HW
KPWN7339,07-Oct-19,28-Jan-20,19,04-Mar-20,14,2,HW
KPWN7738,07-Oct-19,28-Jan-20,20,04-Mar-20,14,2,HW
KPWN5599,07-Oct-19,28-Jan-20,21,04-Mar-20,14,3,HW
KPWK3221,07-Oct-19,28-Jan-20,22,04-Mar-20,14,7,HW
KPWN7575,07-Oct-19,29-Jan-20,12,04-Mar-20,14,2,HW
KPWK3136,07-Oct-19,29-Jan-20,13,04-Mar-20,14,7,HW
KWFJ9056,07-Oct-19,29-Jan-20,13,04-Mar-20,14,9,HW
KPWK3242,07-Oct-19,29-Jan-20,14,04-Mar-20,14,7,HW
KPWN0595,07-Oct-19,29-Jan-20,14,04-Mar-20,14,5,HW
KPWN0554,07-Oct-19,29-Jan-20,15,04-Mar-20,14,5,HW
KPWK7052,07-Oct-19,29-Jan-20,16,04-Mar-20,14,6,HW
KPWN0589,07-Oct-19,29-Jan-20,16,04-Mar-20,14,5,HW
KPWN7482,07-Oct-19,29-Jan-20,16,04-Mar-20,14,2,HW
KPWN7542,07-Oct-19,29-Jan-20,16,04-Mar-20,14,2,HW
KPWN7588,07-Oct-19,29-Jan-20,16,30-Jan-20,0,2,HW
KPWK2475,07-Oct-19,29-Jan-20,17,04-Mar-20,14,7,HW
KPWK7189,07-Oct-19,29-Jan-20,17,04-Mar-20,14,6,HW
KPWK9846,08-Oct-19,29-Jan-20,17,04-Mar-20,14,5,HW
KPWN5398,07-Oct-19,29-Jan-20,17,04-Mar-20,14,3,HW
KPWN7618,07-Oct-19,29-Jan-20,17,04-Mar-20,14,2,HW
KPWN5424,07-Oct-19,29-Jan-20,18,04-Mar-20,14,3,HW
ZNEZ3276,07-Oct-19,29-Jan-20,19,04-Mar-20,14,3,HW
KPWK5721,08-Oct-19,29-Jan-20,20,04-Mar-20,14,6,HW
ZNEZ1527,07-Oct-19,29-Jan-20,20,04-Mar-20,14,4,HW
KPWN5280,07-Oct-19,29-Jan-20,21,04-Mar-20,14,3,HW
ZNEZ1332,07-Oct-19,30-Jan-20,4,04-Mar-20,13,4,HW
KWFJ2544,07-Oct-19,30-Jan-20,7,04-Mar-20,13,8,HW
KPWK8073,07-Oct-19,30-Jan-20,9,04-Mar-20,13,5,HW
KPWK3271,07-Oct-19,30-Jan-20,11,04-Mar-20,13,7,HW
KWFJ2479,07-Oct-19,30-Jan-20,11,04-Mar-20,13,8,HW
ZNEZ2458,07-Oct-19,30-Jan-20,11,04-Mar-20,13,3,HW
KPWK3218,07-Oct-19,30-Jan-20,12,04-Mar-20,13,7,HW
KPWN4626,08-Oct-19,30-Jan-20,12,04-Mar-20,13,3,HW
ZNEZ2736,07-Oct-19,30-Jan-20,13,04-Mar-20,13,3,HW
AWFJ8695,07-Oct-19,30-Jan-20,14,04-Mar-20,13,9,HW
KPWN7831,07-Oct-19,30-Jan-20,14,04-Mar-20,13,2,HW
KWFJ2165,07-Oct-19,30-Jan-20,14,04-Mar-20,13,8,HW
KPWK3034,07-Oct-19,30-Jan-20,15,04-Mar-20,13,7,HW
KPWK3096,07-Oct-19,30-Jan-20,15,04-Mar-20,13,7,HW
KPWK7074,07-Oct-19,30-Jan-20,15,04-Mar-20,13,6,HW
KPWN0380,07-Oct-19,30-Jan-20,15,04-Mar-20,13,5,HW
KPWN0474,07-Oct-19,30-Jan-20,15,04-Mar-20,13,5,HW
KPWN2456,08-Oct-19,30-Jan-20,15,04-Mar-20,13,4,HW
KPWN7448,07-Oct-19,30-Jan-20,15,04-Mar-20,13,2,HW
KPWK2961,07-Oct-19,30-Jan-20,16,04-Mar-20,13,7,HW
KPWK6045,07-Oct-19,30-Jan-20,16,04-Mar-20,13,6,HW
KPWK6867,07-Oct-19,30-Jan-20,16,04-Mar-20,13,6,HW
KPWK7042,07-Oct-19,30-Jan-20,16,04-Mar-20,13,6,HW
KPWN3390,07-Oct-19,30-Jan-20,16,04-Mar-20,13,4,HW
KPWN5295,07-Oct-19,30-Jan-20,16,04-Mar-20,13,3,HW
KPWN5633,07-Oct-19,30-Jan-20,16,04-Mar-20,13,3,HW
PHWHW357,07-Oct-19,30-Jan-20,16,04-Mar-20,13,2,HW
KPWN2408,08-Oct-19,30-Jan-20,17,04-Mar-20,13,4,HW
KPWN5421,07-Oct-19,30-Jan-20,17,04-Mar-20,13,3,HW
KPWN5471,07-Oct-19,30-Jan-20,17,04-Mar-20,13,3,HW
KPWN5516,07-Oct-19,30-Jan-20,17,04-Mar-20,13,3,HW
KPWN7436,07-Oct-19,30-Jan-20,17,04-Mar-20,13,2,HW
KPWN7451,07-Oct-19,30-Jan-20,17,04-Mar-20,13,2,HW
KHWHW323,07-Oct-19,30-Jan-20,18,04-Mar-20,13,4,HW
KPWK3331,07-Oct-19,30-Jan-20,18,04-Mar-20,13,7,HW
KPWK6556,07-Oct-19,30-Jan-20,18,04-Mar-20,13,6,HW
KPWK6920,07-Oct-19,30-Jan-20,18,04-Mar-20,13,6,HW
KPWN0158,07-Oct-19,30-Jan-20,18,04-Mar-20,13,5,HW
KPWN2766,07-Oct-19,30-Jan-20,18,04-Mar-20,13,4,HW
KPWN7593,07-Oct-19,30-Jan-20,18,04-Mar-20,13,2,HW
KHWHW177,07-Oct-19,30-Jan-20,19,04-Mar-20,14,8,HW
KPWN0475,07-Oct-19,30-Jan-20,19,04-Mar-20,13,5,HW
KPWN5422,07-Oct-19,30-Jan-20,19,04-Mar-20,13,3,HW
KPWK2917,07-Oct-19,30-Jan-20,20,04-Mar-20,13,7,HW
KPWN1798,08-Oct-19,30-Jan-20,20,04-Mar-20,13,4,HW
KPWN2895,08-Oct-19,30-Jan-20,20,04-Mar-20,13,4,HW
KPWN5337,07-Oct-19,30-Jan-20,20,04-Mar-20,13,3,HW
PHWP3227,08-Oct-19,30-Jan-20,20,04-Mar-20,13,1,HW
KPWK2851,07-Oct-19,30-Jan-20,22,04-Mar-20,13,7,HW
KPWK3204,07-Oct-19,30-Jan-20,22,04-Mar-20,13,7,HW
KPWN0387,07-Oct-19,30-Jan-20,22,04-Mar-20,13,5,HW
ZNEZ1435,07-Oct-19,30-Jan-20,22,04-Mar-20,13,4,HW
KPWN5252,07-Oct-19,31-Jan-20,4,04-Mar-20,13,3,HW
KPWN0419,07-Oct-19,31-Jan-20,6,04-Mar-20,13,5,HW
PHWP1631,07-Oct-19,31-Jan-20,6,04-Mar-20,13,4,HW
ZNEZ3277,07-Oct-19,31-Jan-20,7,04-Mar-20,13,3,HW
KPWN7483,07-Oct-19,31-Jan-20,8,04-Mar-20,13,2,HW
KWFJ2288,07-Oct-19,31-Jan-20,10,04-Mar-20,13,8,HW
KPWK3246,07-Oct-19,31-Jan-20,11,04-Mar-20,13,7,HW
KWFJ0521,07-Oct-19,31-Jan-20,11,04-Mar-20,13,8,HW
PHWP2818,08-Oct-19,31-Jan-20,11,04-Mar-20,13,1,HW
KPWK3036,07-Oct-19,31-Jan-20,12,04-Mar-20,13,7,HW
KWFJ1889,07-Oct-19,31-Jan-20,12,04-Mar-20,13,8,HW
KPWK2778,07-Oct-19,31-Jan-20,13,04-Mar-20,13,7,HW
KPWK8473,07-Oct-19,31-Jan-20,13,04-Mar-20,13,5,HW
