Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
KPOF5201,16-Sep-19,06-Jan-20,15,05-Feb-20,15,5,EB
KPOG7583,16-Sep-19,06-Jan-20,15,05-Feb-20,15,2,EB
KPOF9732,16-Sep-19,06-Jan-20,16,05-Feb-20,15,4,EB
KPOG3207,16-Sep-19,06-Jan-20,17,05-Feb-20,15,3,EB
KPOF4757,16-Sep-19,06-Jan-20,19,05-Feb-20,15,5,EB
KPOF5072,16-Sep-19,06-Jan-20,19,05-Feb-20,15,5,EB
KPOF9624,16-Sep-19,06-Jan-20,20,05-Feb-20,15,4,EB
KPOF9353,16-Sep-19,07-Jan-20,9,05-Feb-20,15,4,EB
KPOF9808,16-Sep-19,07-Jan-20,9,05-Feb-20,15,4,EB
KPOG7580,16-Sep-19,07-Jan-20,12,05-Feb-20,14,2,EB
KPOF8017,16-Sep-19,07-Jan-20,13,05-Feb-20,15,4,EB
KPOG7307,16-Sep-19,07-Jan-20,14,05-Feb-20,14,2,EB
KPOG7610,16-Sep-19,07-Jan-20,14,05-Feb-20,14,2,EB
KPOF1294,16-Sep-19,07-Jan-20,15,05-Feb-20,15,6,EB
KPOF9216,16-Sep-19,07-Jan-20,15,05-Feb-20,15,4,EB
KPOF9311,16-Sep-19,07-Jan-20,15,05-Feb-20,15,4,EB
KPOF5022,16-Sep-19,07-Jan-20,16,05-Feb-20,15,5,EB
KPOF9511,16-Sep-19,07-Jan-20,16,05-Feb-20,15,4,EB
KPOF9727,16-Sep-19,07-Jan-20,16,05-Feb-20,15,4,EB
KPOG3292,16-Sep-19,07-Jan-20,16,05-Feb-20,15,3,EB
KPOG3454,16-Sep-19,07-Jan-20,16,05-Feb-20,15,3,EB
KPOG7377,16-Sep-19,07-Jan-20,16,05-Feb-20,14,2,EB
KPOG7436,16-Sep-19,07-Jan-20,16,05-Feb-20,14,2,EB
KPOG7510,16-Sep-19,07-Jan-20,16,05-Feb-20,14,2,EB
KPOF4961,16-Sep-19,07-Jan-20,17,05-Feb-20,15,5,EB
KPOF5156,16-Sep-19,07-Jan-20,17,05-Feb-20,15,5,EB
KPOF9812,16-Sep-19,07-Jan-20,17,05-Feb-20,15,4,EB
KPOG7672,16-Sep-19,07-Jan-20,18,05-Feb-20,14,2,EB
KPOF4677,16-Sep-19,07-Jan-20,19,05-Feb-20,15,5,EB
KPOF4810,16-Sep-19,07-Jan-20,19,05-Feb-20,15,5,EB
KPOF5424,16-Sep-19,07-Jan-20,19,05-Feb-20,15,5,EB
KPOF9475,16-Sep-19,07-Jan-20,19,05-Feb-20,15,4,EB
KPOF9655,16-Sep-19,07-Jan-20,19,05-Feb-20,15,4,EB
KPOG3580,16-Sep-19,07-Jan-20,19,05-Feb-20,14,3,EB
KPOG7554,16-Sep-19,07-Jan-20,19,05-Feb-20,14,2,EB
KPOG7609,16-Sep-19,07-Jan-20,19,05-Feb-20,14,2,EB
KPOG7646,16-Sep-19,07-Jan-20,19,05-Feb-20,14,2,EB
KPOF4951,16-Sep-19,07-Jan-20,20,05-Feb-20,15,5,EB
KPOF9330,16-Sep-19,07-Jan-20,20,05-Feb-20,15,4,EB
KPOG3266,16-Sep-19,07-Jan-20,20,05-Feb-20,15,3,EB
KPOG3243,16-Sep-19,07-Jan-20,21,05-Feb-20,15,3,EB
KPOG3484,16-Sep-19,07-Jan-20,21,05-Feb-20,14,3,EB
KPOG3558,16-Sep-19,07-Jan-20,22,05-Feb-20,14,3,EB
KPOG3503,16-Sep-19,07-Jan-20,24,05-Feb-20,14,3,EB
KPOG7608,16-Sep-19,08-Jan-20,6,05-Feb-20,14,2,EB
KPOF9680,16-Sep-19,08-Jan-20,11,05-Feb-20,14,4,EB
PHWP2725,16-Sep-19,08-Jan-20,11,05-Feb-20,14,1,EB
KPOF5008,16-Sep-19,08-Jan-20,12,05-Feb-20,14,5,EB
KPOF1010,16-Sep-19,08-Jan-20,13,05-Feb-20,14,6,EB
KPOF1203,16-Sep-19,08-Jan-20,13,05-Feb-20,14,6,EB
KPOF9771,16-Sep-19,08-Jan-20,13,05-Feb-20,14,4,EB
KPOG7512,16-Sep-19,08-Jan-20,13,05-Feb-20,14,2,EB
KEBEB117,16-Sep-19,08-Jan-20,14,05-Feb-20,14,3,EB
KPOF4673,16-Sep-19,08-Jan-20,14,05-Feb-20,14,5,EB
KPOF9265,16-Sep-19,08-Jan-20,14,05-Feb-20,14,4,EB
KPOG3405,16-Sep-19,08-Jan-20,14,05-Feb-20,14,3,EB
KPOG3489,16-Sep-19,08-Jan-20,14,05-Feb-20,14,3,EB
KPOF4653,16-Sep-19,08-Jan-20,15,05-Feb-20,14,5,EB
KPOG3219,16-Sep-19,08-Jan-20,15,05-Feb-20,14,3,EB
KPOF1200,16-Sep-19,08-Jan-20,16,05-Feb-20,14,6,EB
KPOF9363,16-Sep-19,08-Jan-20,16,05-Feb-20,14,4,EB
KPOF9682,16-Sep-19,08-Jan-20,16,05-Feb-20,14,4,EB
KPOF9849,16-Sep-19,08-Jan-20,16,05-Feb-20,14,4,EB
KPOG7454,16-Sep-19,08-Jan-20,16,05-Feb-20,14,2,EB
KPOG7572,16-Sep-19,08-Jan-20,16,05-Feb-20,14,2,EB
KPOG7627,16-Sep-19,08-Jan-20,16,05-Feb-20,14,2,EB
KPOG7687,16-Sep-19,08-Jan-20,16,05-Feb-20,14,2,EB
KPOG3473,16-Sep-19,08-Jan-20,17,05-Feb-20,14,3,EB
KPOG7375,16-Sep-19,08-Jan-20,17,05-Feb-20,14,2,EB
KPOG7456,16-Sep-19,08-Jan-20,17,05-Feb-20,14,2,EB
KPOG7499,16-Sep-19,08-Jan-20,17,05-Feb-20,14,2,EB
KPOF5015,16-Sep-19,08-Jan-20,18,05-Feb-20,14,5,EB
KPOF5480,16-Sep-19,08-Jan-20,18,05-Feb-20,14,5,EB
KPOF9144,16-Sep-19,08-Jan-20,18,05-Feb-20,14,4,EB
KPOG3306,16-Sep-19,08-Jan-20,18,05-Feb-20,14,3,EB
