Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
PPWQ1686,10-Feb-20,02-Jun-20,11,08-Jul-20,15,1,HW
ZNEZ1339,10-Feb-20,02-Jun-20,17,08-Jul-20,15,5,HW
ZNEZ2288,10-Feb-20,02-Jun-20,18,08-Jul-20,15,4,HW
ZNEZ1354,10-Feb-20,03-Jun-20,11,08-Jul-20,14,5,HW
KPWN7535,10-Feb-20,03-Jun-20,12,08-Jul-20,15,3,HW
PPWQ1658,10-Feb-20,03-Jun-20,12,08-Jul-20,15,1,HW
KHWHW325,10-Feb-20,03-Jun-20,15,08-Jul-20,15,5,HW
PPWQ1665,10-Feb-20,03-Jun-20,15,08-Jul-20,15,1,HW
PPWQ1676,10-Feb-20,03-Jun-20,15,08-Jul-20,15,1,HW
ZNEZ0138,10-Feb-20,03-Jun-20,15,08-Jul-20,15,7,HW
PHWP2952,10-Feb-20,03-Jun-20,16,08-Jul-20,15,2,HW
ZNEZ4079,10-Feb-20,03-Jun-20,16,08-Jul-20,14,3,HW
KPWN7274,10-Feb-20,03-Jun-20,17,08-Jul-20,15,3,HW
PHWP1740,10-Feb-20,03-Jun-20,17,08-Jul-20,15,4,HW
PHWY3652,11-Feb-20,03-Jun-20,17,08-Jul-20,15,1,HW
ZNEZ3622,11-Feb-20,03-Jun-20,17,08-Jul-20,14,3,HW
KHWHW313,10-Feb-20,03-Jun-20,18,08-Jul-20,15,5,HW
KPWN1939,10-Feb-20,03-Jun-20,18,08-Jul-20,15,5,HW
PPWQ1409,10-Feb-20,03-Jun-20,18,08-Jul-20,15,1,HW
PPWQ1636,10-Feb-20,03-Jun-20,18,08-Jul-20,15,1,HW
KPWN7206,10-Feb-20,03-Jun-20,19,08-Jul-20,15,3,HW
PPWQ1848,10-Feb-20,03-Jun-20,19,08-Jul-20,15,1,HW
ZNEZ1331,10-Feb-20,03-Jun-20,19,08-Jul-20,14,5,HW
ZNEZ2219,10-Feb-20,03-Jun-20,19,08-Jul-20,14,4,HW
KPWN2345,10-Feb-20,03-Jun-20,20,08-Jul-20,15,5,HW
KPWN7230,10-Feb-20,03-Jun-20,20,08-Jul-20,15,3,HW
KPWK9738,10-Feb-20,03-Jun-20,22,08-Jul-20,15,6,HW
ZNEZ2376,10-Feb-20,03-Jun-20,22,08-Jul-20,14,4,HW
KPWK2532,10-Feb-20,04-Jun-20,11,08-Jul-20,14,8,HW
PPWQ1593,10-Feb-20,04-Jun-20,11,08-Jul-20,14,1,HW
KPWN2606,10-Feb-20,04-Jun-20,12,25-Jun-20,0,5,HW
ZNEZ4025,10-Feb-20,04-Jun-20,13,08-Jul-20,14,3,HW
KPWN4613,10-Feb-20,04-Jun-20,14,08-Jul-20,14,4,HW
PHWHW401,10-Feb-20,04-Jun-20,14,08-Jul-20,14,1,HW
PPWQ1545,10-Feb-20,04-Jun-20,14,08-Jul-20,14,1,HW
ZNEZ0704,10-Feb-20,04-Jun-20,14,08-Jul-20,14,6,HW
ZNEZ1921,10-Feb-20,04-Jun-20,14,08-Jul-20,14,4,HW
ZNEZ2419,10-Feb-20,04-Jun-20,14,08-Jul-20,14,4,HW
KPWK5835,10-Feb-20,04-Jun-20,15,08-Jul-20,14,7,HW
KPWN2849,10-Feb-20,04-Jun-20,15,08-Jul-20,14,5,HW
KPWN7213,10-Feb-20,04-Jun-20,15,08-Jul-20,14,3,HW
PPWQ1725,10-Feb-20,04-Jun-20,15,08-Jul-20,14,1,HW
PPWQ1842,10-Feb-20,04-Jun-20,15,08-Jul-20,14,1,HW
KPWK9635,10-Feb-20,04-Jun-20,16,08-Jul-20,14,6,HW
ZNEZ2377,10-Feb-20,04-Jun-20,16,08-Jul-20,14,4,HW
APWA9405,10-Feb-20,04-Jun-20,17,08-Jul-20,14,8,HW
KPWN2862,10-Feb-20,04-Jun-20,17,08-Jul-20,14,5,HW
PHWP2954,10-Feb-20,04-Jun-20,17,08-Jul-20,14,2,HW
PPWQ1490,11-Feb-20,04-Jun-20,17,08-Jul-20,14,1,HW
ZNEZ2461,10-Feb-20,04-Jun-20,17,08-Jul-20,14,4,HW
KPWK8768,10-Feb-20,04-Jun-20,18,08-Jul-20,14,6,HW
KPWN2507,10-Feb-20,04-Jun-20,18,08-Jul-20,14,5,HW
KPWN2601,10-Feb-20,04-Jun-20,18,08-Jul-20,14,5,HW
PPWQ1513,10-Feb-20,04-Jun-20,18,08-Jul-20,14,1,HW
ZNEZ2323,10-Feb-20,04-Jun-20,18,08-Jul-20,14,4,HW
KPWK5976,10-Feb-20,04-Jun-20,19,08-Jul-20,14,7,HW
KPWN2304,10-Feb-20,04-Jun-20,19,08-Jul-20,14,5,HW
KPWN2967,10-Feb-20,04-Jun-20,19,08-Jul-20,14,5,HW
KPWN7248,10-Feb-20,04-Jun-20,19,08-Jul-20,14,3,HW
KPWK2568,10-Feb-20,04-Jun-20,20,08-Jul-20,14,8,HW
PPWQ1573,10-Feb-20,04-Jun-20,20,08-Jul-20,14,1,HW
KPWN4306,10-Feb-20,04-Jun-20,23,08-Jul-20,14,4,HW
KPWN1753,11-Feb-20,04-Jun-20,24,08-Jul-20,14,5,HW
PPWQ1810,10-Feb-20,05-Jun-20,4,08-Jul-20,14,1,HW
PPWQ1232,10-Feb-20,05-Jun-20,5,08-Jul-20,14,1,HW
PPWQ1711,10-Feb-20,05-Jun-20,8,08-Jul-20,14,1,HW
KPWK5607,10-Feb-20,05-Jun-20,11,08-Jul-20,14,7,HW
KPWN2446,10-Feb-20,05-Jun-20,11,08-Jul-20,14,5,HW
PPWQ1327,11-Feb-20,05-Jun-20,11,08-Jul-20,14,1,HW
PPWQ1581,10-Feb-20,05-Jun-20,11,08-Jul-20,14,1,HW
PPWQ1993,10-Feb-20,05-Jun-20,11,08-Jul-20,14,1,HW
KPWK2331,10-Feb-20,05-Jun-20,12,08-Jul-20,14,8,HW
KPWK9936,10-Feb-20,05-Jun-20,12,08-Jul-20,14,6,HW
KPWN2785,10-Feb-20,05-Jun-20,12,08-Jul-20,14,5,HW
