Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
PPWQ1525,13-Jan-20,04-May-20,12,10-Jun-20,14,1,HW
ZNEZ3850,13-Jan-20,04-May-20,14,10-Jun-20,14,3,HW
KPWN1966,13-Jan-20,04-May-20,17,10-Jun-20,14,5,HW
KPWN7017,13-Jan-20,04-May-20,17,10-Jun-20,14,3,HW
KPWN4417,13-Jan-20,04-May-20,18,10-Jun-20,14,4,HW
KPWN6475,13-Jan-20,04-May-20,24,10-Jun-20,14,3,HW
KPWN1868,13-Jan-20,05-May-20,9,10-Jun-20,14,5,HW
KPWN1811,13-Jan-20,05-May-20,14,10-Jun-20,14,5,HW
KPWN1918,13-Jan-20,05-May-20,14,10-Jun-20,14,5,HW
KPWN4362,13-Jan-20,05-May-20,14,10-Jun-20,14,4,HW
KPWN6452,13-Jan-20,05-May-20,15,10-Jun-20,14,3,HW
KPWN6704,13-Jan-20,05-May-20,19,10-Jun-20,14,3,HW
KPWN4123,13-Jan-20,05-May-20,21,10-Jun-20,14,4,HW
KPWN6615,13-Jan-20,05-May-20,21,10-Jun-20,14,3,HW
KHWHW250,13-Jan-20,06-May-20,12,10-Jun-20,14,7,HW
KPWN4272,13-Jan-20,06-May-20,14,10-Jun-20,14,4,HW
KPWN6946,13-Jan-20,06-May-20,14,10-Jun-20,14,3,HW
ZNEZ3836,13-Jan-20,06-May-20,14,10-Jun-20,14,3,HW
KPWN1834,14-Jan-20,06-May-20,15,10-Jun-20,14,5,HW
KPWN4215,13-Jan-20,06-May-20,15,10-Jun-20,14,4,HW
KPWN6512,13-Jan-20,06-May-20,15,10-Jun-20,14,3,HW
KPWN6666,13-Jan-20,06-May-20,15,10-Jun-20,14,3,HW
ZNEZ1978,13-Jan-20,06-May-20,15,10-Jun-20,14,4,HW
KPWN4301,13-Jan-20,06-May-20,16,10-Jun-20,14,4,HW
KPWN6296,13-Jan-20,06-May-20,17,10-Jun-20,14,3,HW
KPWN6477,13-Jan-20,06-May-20,17,10-Jun-20,14,3,HW
ZNEZ2530,13-Jan-20,06-May-20,17,10-Jun-20,14,3,HW
KPWN1820,13-Jan-20,06-May-20,18,10-Jun-20,14,5,HW
KPWN4252,13-Jan-20,06-May-20,18,10-Jun-20,14,4,HW
KPWN4327,13-Jan-20,06-May-20,18,10-Jun-20,14,4,HW
KPWN6646,13-Jan-20,06-May-20,18,10-Jun-20,14,3,HW
PHWHW370,14-Jan-20,06-May-20,18,10-Jun-20,14,1,HW
ZNEZ1913,13-Jan-20,06-May-20,18,10-Jun-20,14,4,HW
KPWN4168,13-Jan-20,06-May-20,19,10-Jun-20,14,4,HW
KPWN2070,13-Jan-20,06-May-20,20,10-Jun-20,14,5,HW
KPWN3837,13-Jan-20,06-May-20,20,10-Jun-20,14,4,HW
KPWN2065,13-Jan-20,06-May-20,21,10-Jun-20,14,5,HW
KPWN4217,13-Jan-20,06-May-20,23,10-Jun-20,14,4,HW
KPWN3611,13-Jan-20,07-May-20,7,10-Jun-20,14,4,HW
KPWN6557,13-Jan-20,07-May-20,7,10-Jun-20,14,3,HW
KPWN6391,13-Jan-20,07-May-20,9,10-Jun-20,14,3,HW
KPWK9514,13-Jan-20,07-May-20,10,10-Jun-20,14,6,HW
PPWQ1140,13-Jan-20,07-May-20,10,10-Jun-20,14,1,HW
KPWN4228,13-Jan-20,07-May-20,11,10-Jun-20,14,4,HW
KPWN4239,13-Jan-20,07-May-20,11,10-Jun-20,14,4,HW
PPWQ1427,13-Jan-20,07-May-20,11,10-Jun-20,14,1,HW
KPWN2111,13-Jan-20,07-May-20,12,10-Jun-20,14,5,HW
KPWN4276,14-Jan-20,07-May-20,12,10-Jun-20,14,4,HW
KPWK9104,14-Jan-20,07-May-20,13,10-Jun-20,14,6,HW
KPWN2224,13-Jan-20,07-May-20,13,10-Jun-20,14,5,HW
PHWP2546,13-Jan-20,07-May-20,13,10-Jun-20,14,2,HW
PHWP3853,13-Jan-20,07-May-20,13,10-Jun-20,14,1,HW
ZNEZ3668,13-Jan-20,07-May-20,13,10-Jun-20,14,3,HW
KHWHW334,13-Jan-20,07-May-20,14,10-Jun-20,14,4,HW
KPWN6234,13-Jan-20,07-May-20,14,10-Jun-20,14,3,HW
PHWY3277,13-Jan-20,07-May-20,14,10-Jun-20,14,1,HW
PPWQ1523,13-Jan-20,07-May-20,14,10-Jun-20,14,1,HW
KHWHW247,13-Jan-20,07-May-20,15,10-Jun-20,14,7,HW
KHWHW317,13-Jan-20,07-May-20,15,10-Jun-20,14,5,HW
KPWK9536,13-Jan-20,07-May-20,15,10-Jun-20,14,6,HW
KPWN4303,13-Jan-20,07-May-20,15,10-Jun-20,14,4,HW
KPWN6901,13-Jan-20,07-May-20,15,10-Jun-20,14,3,HW
KPWN7031,13-Jan-20,07-May-20,15,10-Jun-20,14,3,HW
PPWQ1437,13-Jan-20,07-May-20,15,10-Jun-20,14,1,HW
KPWK9569,13-Jan-20,07-May-20,16,10-Jun-20,14,6,HW
KPWN1992,13-Jan-20,07-May-20,16,10-Jun-20,14,5,HW
KPWN6660,13-Jan-20,07-May-20,16,10-Jun-20,14,3,HW
PHWY3628,13-Jan-20,07-May-20,16,10-Jun-20,14,1,HW
PPWQ1089,13-Jan-20,07-May-20,16,10-Jun-20,14,1,HW
PPWQ1106,13-Jan-20,07-May-20,16,10-Jun-20,14,1,HW
PPWQ1177,14-Jan-20,07-May-20,16,10-Jun-20,14,1,HW
PPWQ1375,13-Jan-20,07-May-20,16,10-Jun-20,14,1,HW
PPWQ1478,13-Jan-20,07-May-20,16,10-Jun-20,14,1,HW
KPWK5298,13-Jan-20,07-May-20,17,10-Jun-20,14,7,HW
KPWK9083,13-Jan-20,07-May-20,17,10-Jun-20,14,6,HW
KPWK9491,13-Jan-20,07-May-20,17,10-Jun-20,14,6,HW
KPWK9492,13-Jan-20,07-May-20,17,10-Jun-20,14,6,HW
KPWN1994,13-Jan-20,07-May-20,17,10-Jun-20,14,5,HW
KPWN6183,13-Jan-20,07-May-20,17,10-Jun-20,14,3,HW
KPWN6653,13-Jan-20,07-May-20,17,10-Jun-20,14,3,HW
PHWY3667,13-Jan-20,07-May-20,17,10-Jun-20,14,1,HW
PPWQ1530,13-Jan-20,07-May-20,17,10-Jun-20,14,1,HW
ZNEZ3962,13-Jan-20,07-May-20,17,10-Jun-20,14,3,HW
KPWK9421,13-Jan-20,07-May-20,18,10-Jun-20,14,6,HW
KPWN3432,13-Jan-20,07-May-20,18,10-Jun-20,14,4,HW
KPWN6637,13-Jan-20,07-May-20,18,10-Jun-20,14,3,HW
KPWN7039,13-Jan-20,07-May-20,18,10-Jun-20,14,3,HW
PPWQ1365,13-Jan-20,07-May-20,18,10-Jun-20,14,1,HW
ZNEZ4095,13-Jan-20,07-May-20,18,10-Jun-20,14,3,HW
KPWK5853,13-Jan-20,07-May-20,19,10-Jun-20,14,7,HW
KPWK7973,13-Jan-20,07-May-20,19,10-Jun-20,14,6,HW
KPWK9086,13-Jan-20,07-May-20,19,10-Jun-20,14,6,HW
KPWN6069,13-Jan-20,07-May-20,19,10-Jun-20,14,3,HW
KPWN6737,13-Jan-20,07-May-20,19,10-Jun-20,14,3,HW
PPWQ1360,13-Jan-20,07-May-20,19,10-Jun-20,14,1,HW
ZNEZ1609,13-Jan-20,07-May-20,19,10-Jun-20,14,4,HW
KPWN6672,13-Jan-20,07-May-20,20,10-Jun-20,14,3,HW
KPWN7058,14-Jan-20,07-May-20,21,10-Jun-20,14,3,HW
PHWP2529,13-Jan-20,07-May-20,21,10-Jun-20,14,2,HW
KPWK9046,13-Jan-20,07-May-20,22,10-Jun-20,14,6,HW
KPWN1417,13-Jan-20,07-May-20,22,10-Jun-20,14,5,HW
PHWY3511,13-Jan-20,08-May-20,6,10-Jun-20,14,1,HW
PHWP3917,13-Jan-20,08-May-20,7,10-Jun-20,14,1,HW
KPWN1481,13-Jan-20,08-May-20,10,10-Jun-20,14,5,HW
ZNEZ2032,15-Jan-20,08-May-20,11,10-Jun-20,14,4,HW
KPWK5545,13-Jan-20,08-May-20,12,10-Jun-20,14,7,HW
KPWK9067,13-Jan-20,08-May-20,12,10-Jun-20,14,6,HW
PHWP2376,13-Jan-20,08-May-20,12,10-Jun-20,14,2,HW
PPWQ1071,13-Jan-20,08-May-20,12,10-Jun-20,14,1,HW
PPWQ1494,13-Jan-20,08-May-20,12,10-Jun-20,14,1,HW
KHWHW218,13-Jan-20,08-May-20,13,10-Jun-20,14,8,HW
PHWY3580,14-Jan-20,08-May-20,13,10-Jun-20,14,1,HW
PHWY3592,13-Jan-20,08-May-20,13,10-Jun-20,14,1,HW
PHWY3615,13-Jan-20,08-May-20,13,10-Jun-20,14,1,HW
PPWQ1516,13-Jan-20,08-May-20,13,10-Jun-20,14,1,HW
KPWN1980,13-Jan-20,08-May-20,14,10-Jun-20,14,5,HW
PHWY3476,13-Jan-20,08-May-20,14,10-Jun-20,14,1,HW
PHWY3619,13-Jan-20,08-May-20,14,10-Jun-20,14,1,HW
PPWQ0382,13-Jan-20,08-May-20,14,10-Jun-20,14,1,HW
PPWQ1276,13-Jan-20,08-May-20,14,10-Jun-20,14,1,HW
PPWQ1342,13-Jan-20,08-May-20,14,10-Jun-20,14,1,HW
KPWK3508,14-Jan-20,08-May-20,15,10-Jun-20,14,4,HW
KPWK9456,13-Jan-20,08-May-20,15,10-Jun-20,14,6,HW
KPWN6616,15-Jan-20,08-May-20,15,10-Jun-20,14,3,HW
PHWP3643,14-Jan-20,08-May-20,15,10-Jun-20,14,1,HW
PHWY3711,13-Jan-20,08-May-20,15,10-Jun-20,14,1,HW
KPWK5307,13-Jan-20,08-May-20,16,10-Jun-20,14,7,HW
KPWN1844,13-Jan-20,08-May-20,16,10-Jun-20,14,5,HW
PHWY3258,14-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
PHWY3479,14-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
PHWY3563,14-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
PHWY3567,13-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
PHWY3655,14-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
PHWY3683,14-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
PHWY3689,13-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
PPWQ1329,14-Jan-20,08-May-20,16,10-Jun-20,14,1,HW
KPWK5297,13-Jan-20,08-May-20,17,10-Jun-20,14,7,HW
KPWN1108,15-Jan-20,08-May-20,17,10-Jun-20,14,5,HW
PHWP3930,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PHWP3948,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PHWY3597,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1064,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1157,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1255,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1261,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1319,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1459,13-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1517,14-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
PPWQ1902,14-Jan-20,08-May-20,17,10-Jun-20,14,1,HW
KPWN3876,13-Jan-20,08-May-20,18,10-Jun-20,14,4,HW
KPWN2108,13-Jan-20,08-May-20,19,10-Jun-20,14,5,HW
PHWY3701,13-Jan-20,08-May-20,19,10-Jun-20,14,1,HW
PHWP2277,13-Jan-20,08-May-20,20,10-Jun-20,14,2,HW
PHWY3463,17-Jan-20,08-May-20,20,10-Jun-20,14,1,HW
KPWK8959,14-Jan-20,08-May-20,21,10-Jun-20,14,6,HW
KPWK8971,13-Jan-20,08-May-20,21,10-Jun-20,14,6,HW
