Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
KPOB5613,25-Nov-19,16-Mar-20,15,15-Apr-20,14,7,EB
KPOF2901,25-Nov-19,16-Mar-20,15,15-Apr-20,14,6,EB
KPOF3064,25-Nov-19,16-Mar-20,15,15-Apr-20,14,6,EB
KPOG1069,25-Nov-19,16-Mar-20,15,15-Apr-20,14,4,EB
KPOF2840,25-Nov-19,16-Mar-20,16,15-Apr-20,14,6,EB
KPOF7296,25-Nov-19,16-Mar-20,16,15-Apr-20,14,5,EB
KPOG1374,25-Nov-19,16-Mar-20,19,15-Apr-20,14,4,EB
KPOG1470,25-Nov-19,16-Mar-20,19,15-Apr-20,14,4,EB
KPOG1201,25-Nov-19,16-Mar-20,20,15-Apr-20,14,4,EB
KPOG1165,25-Nov-19,17-Mar-20,6,15-Apr-20,14,4,EB
PHWP3772,25-Nov-19,17-Mar-20,6,15-Apr-20,14,1,EB
PHWP3091,25-Nov-19,17-Mar-20,12,15-Apr-20,14,1,EB
KPOF2877,25-Nov-19,17-Mar-20,13,15-Apr-20,14,6,EB
PHWP3354,25-Nov-19,17-Mar-20,13,15-Apr-20,14,1,EB
PHWP3365,25-Nov-19,17-Mar-20,13,15-Apr-20,14,1,EB
PHWP3382,25-Nov-19,17-Mar-20,13,15-Apr-20,14,1,EB
KPOG1150,25-Nov-19,17-Mar-20,14,15-Apr-20,14,4,EB
PEBEB138,25-Nov-19,17-Mar-20,14,15-Apr-20,14,1,EB
PHWP2532,25-Nov-19,17-Mar-20,14,15-Apr-20,14,2,EB
KEBEB112,25-Nov-19,17-Mar-20,15,15-Apr-20,14,5,EB
KPOB4901,25-Nov-19,17-Mar-20,15,15-Apr-20,14,7,EB
KPOF6998,25-Nov-19,17-Mar-20,15,15-Apr-20,14,5,EB
KPOF7252,25-Nov-19,17-Mar-20,15,15-Apr-20,14,5,EB
KPOG1158,25-Nov-19,17-Mar-20,15,15-Apr-20,14,4,EB
PHWP2535,25-Nov-19,17-Mar-20,15,15-Apr-20,14,2,EB
KPOF2740,25-Nov-19,17-Mar-20,16,15-Apr-20,14,6,EB
KPOG4985,25-Nov-19,17-Mar-20,16,15-Apr-20,14,3,EB
KPOG5571,25-Nov-19,17-Mar-20,16,15-Apr-20,14,3,EB
KEBEB110,25-Nov-19,17-Mar-20,17,15-Apr-20,14,5,EB
KPOG1024,25-Nov-19,17-Mar-20,17,15-Apr-20,14,4,EB
KPOG1060,25-Nov-19,17-Mar-20,17,15-Apr-20,14,4,EB
KPOG1252,25-Nov-19,17-Mar-20,17,15-Apr-20,14,4,EB
KPOG5549,25-Nov-19,17-Mar-20,17,15-Apr-20,14,3,EB
KPOG6003,25-Nov-19,17-Mar-20,17,15-Apr-20,14,3,EB
PHWP2501,25-Nov-19,17-Mar-20,17,15-Apr-20,14,2,EB
PHWP3369,25-Nov-19,17-Mar-20,17,15-Apr-20,14,1,EB
KEBEB090,25-Nov-19,17-Mar-20,18,15-Apr-20,14,6,EB
KPOF2936,25-Nov-19,17-Mar-20,18,15-Apr-20,14,6,EB
KPOG1405,25-Nov-19,17-Mar-20,18,15-Apr-20,14,4,EB
KPOG5200,25-Nov-19,17-Mar-20,18,15-Apr-20,14,3,EB
PEBEB134,25-Nov-19,17-Mar-20,18,15-Apr-20,14,1,EB
KEBEB094,25-Nov-19,17-Mar-20,19,15-Apr-20,14,6,EB
PHWP3078,25-Nov-19,17-Mar-20,19,15-Apr-20,14,1,EB
KPOB4755,25-Nov-19,17-Mar-20,20,15-Apr-20,14,7,EB
KPOF7228,25-Nov-19,17-Mar-20,20,15-Apr-20,14,5,EB
KPOG1376,25-Nov-19,17-Mar-20,20,15-Apr-20,14,4,EB
KPOG1471,25-Nov-19,17-Mar-20,20,15-Apr-20,14,4,EB
KPOG1293,25-Nov-19,17-Mar-20,21,15-Apr-20,14,4,EB
KPOG5420,25-Nov-19,17-Mar-20,21,15-Apr-20,14,3,EB
KPOG5424,25-Nov-19,17-Mar-20,21,15-Apr-20,14,3,EB
KPOG6162,25-Nov-19,17-Mar-20,23,15-Apr-20,14,3,EB
KPOB4882,25-Nov-19,18-Mar-20,7,15-Apr-20,14,7,EB
KPOG1468,25-Nov-19,18-Mar-20,9,15-Apr-20,14,4,EB
KPOG5852,25-Nov-19,18-Mar-20,10,15-Apr-20,14,3,EB
KPOG5888,25-Nov-19,18-Mar-20,10,15-Apr-20,14,3,EB
KPOG6055,25-Nov-19,18-Mar-20,11,15-Apr-20,14,3,EB
KEBEB113,25-Nov-19,18-Mar-20,12,15-Apr-20,14,5,EB
KPOB5011,25-Nov-19,18-Mar-20,12,15-Apr-20,14,7,EB
KPOG5330,25-Nov-19,18-Mar-20,13,15-Apr-20,14,3,EB
KPOP7288,25-Nov-19,18-Mar-20,13,15-Apr-20,14,8,EB
KPOF2572,25-Nov-19,18-Mar-20,14,15-Apr-20,14,6,EB
KPOG6135,25-Nov-19,18-Mar-20,14,15-Apr-20,14,3,EB
PHWP3765,25-Nov-19,18-Mar-20,14,15-Apr-20,14,1,EB
KPOF2873,25-Nov-19,18-Mar-20,15,15-Apr-20,14,6,EB
KPOF2952,25-Nov-19,18-Mar-20,15,15-Apr-20,14,6,EB
KPOG5461,25-Nov-19,18-Mar-20,15,15-Apr-20,14,3,EB
KPOG5594,25-Nov-19,18-Mar-20,15,15-Apr-20,14,3,EB
KPOG6005,25-Nov-19,18-Mar-20,15,15-Apr-20,14,3,EB
PHWP3371,26-Nov-19,18-Mar-20,15,15-Apr-20,14,1,EB
PHWP3385,25-Nov-19,18-Mar-20,15,15-Apr-20,14,1,EB
KPOG1199,25-Nov-19,18-Mar-20,16,15-Apr-20,14,4,EB
KPOG5417,25-Nov-19,18-Mar-20,16,15-Apr-20,14,3,EB
PEBEB132,25-Nov-19,18-Mar-20,16,15-Apr-20,14,1,EB
KPOG5519,25-Nov-19,18-Mar-20,17,15-Apr-20,14,3,EB
KPOG5593,25-Nov-19,18-Mar-20,17,23-Mar-20,0,3,EB
KPOG6094,25-Nov-19,18-Mar-20,17,15-Apr-20,14,3,EB
KPOG6096,25-Nov-19,18-Mar-20,17,15-Apr-20,14,3,EB
KPOG6170,25-Nov-19,18-Mar-20,17,15-Apr-20,14,3,EB
PHWP3654,25-Nov-19,18-Mar-20,17,15-Apr-20,14,1,EB
KPOG1450,25-Nov-19,18-Mar-20,18,15-Apr-20,14,4,EB
KPOG4920,25-Nov-19,18-Mar-20,18,15-Apr-20,14,3,EB
KPOG5583,25-Nov-19,18-Mar-20,18,15-Apr-20,14,3,EB
KPOG5839,25-Nov-19,18-Mar-20,18,18-Mar-20,0,3,EB
PHWP3012,25-Nov-19,18-Mar-20,18,15-Apr-20,14,1,EB
PHWP3015,25-Nov-19,18-Mar-20,18,15-Apr-20,14,1,EB
KPOG5924,25-Nov-19,18-Mar-20,19,15-Apr-20,14,3,EB
KPOG6140,25-Nov-19,18-Mar-20,19,15-Apr-20,14,3,EB
KPOF7308,25-Nov-19,18-Mar-20,20,15-Apr-20,14,5,EB
KPOG1098,25-Nov-19,18-Mar-20,20,15-Apr-20,14,4,EB
KPOF7360,25-Nov-19,18-Mar-20,23,15-Apr-20,14,5,EB
KPOG5332,25-Nov-19,18-Mar-20,26,15-Apr-20,14,3,EB
PHWP3653,25-Nov-19,19-Mar-20,9,15-Apr-20,14,1,EB
KPOG5762,25-Nov-19,19-Mar-20,10,15-Apr-20,14,3,EB
KPOG5804,25-Nov-19,19-Mar-20,11,15-Apr-20,14,3,EB
PHWP3080,25-Nov-19,19-Mar-20,11,15-Apr-20,14,1,EB
KPOF3057,25-Nov-19,19-Mar-20,12,15-Apr-20,14,6,EB
PHWP2498,25-Nov-19,19-Mar-20,12,15-Apr-20,14,2,EB
KPOF2965,25-Nov-19,19-Mar-20,13,15-Apr-20,14,6,EB
KPOG5410,25-Nov-19,19-Mar-20,13,15-Apr-20,14,3,EB
