Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
KPWN4608,26-Aug-19,16-Dec-19,16,22-Jan-20,14,3,HW
ZNEZ2216,26-Aug-19,16-Dec-19,18,22-Jan-20,14,3,HW
KPWN4485,26-Aug-19,16-Dec-19,19,22-Jan-20,14,3,HW
PHWP1777,26-Aug-19,17-Dec-19,12,22-Jan-20,14,2,HW
KPWN7247,26-Aug-19,17-Dec-19,14,22-Jan-20,14,2,HW
KPWN2351,26-Aug-19,17-Dec-19,15,22-Jan-20,14,4,HW
ZNEZ2427,26-Aug-19,17-Dec-19,15,22-Jan-20,14,3,HW
KPWN6813,26-Aug-19,17-Dec-19,16,22-Jan-20,14,2,HW
PHWP1795,26-Aug-19,17-Dec-19,16,22-Jan-20,14,2,HW
KPWK5979,26-Aug-19,17-Dec-19,17,22-Jan-20,14,6,HW
KPWN2348,26-Aug-19,17-Dec-19,17,22-Jan-20,14,4,HW
KPWN4533,26-Aug-19,17-Dec-19,17,22-Jan-20,14,3,HW
KPWK6944,26-Aug-19,17-Dec-19,18,22-Jan-20,14,5,HW
ZNEZ1091,26-Aug-19,17-Dec-19,18,22-Jan-20,14,4,HW
KPWN7100,26-Aug-19,17-Dec-19,19,22-Jan-20,14,2,HW
KPWN6611,26-Aug-19,17-Dec-19,20,22-Jan-20,14,2,HW
KPWN6708,26-Aug-19,18-Dec-19,4,22-Jan-20,14,2,HW
KPWK5955,26-Aug-19,18-Dec-19,8,22-Jan-20,14,6,HW
KPWN7174,26-Aug-19,18-Dec-19,8,22-Jan-20,14,2,HW
KPWN6829,26-Aug-19,18-Dec-19,9,22-Jan-20,14,2,HW
KWFJ1587,26-Aug-19,18-Dec-19,12,22-Jan-20,14,8,HW
ZNEZ1103,26-Aug-19,18-Dec-19,12,22-Jan-20,14,4,HW
KPWN7169,26-Aug-19,18-Dec-19,13,22-Jan-20,14,2,HW
KPWN7014,26-Aug-19,18-Dec-19,14,22-Jan-20,14,2,HW
KPWK1959,26-Aug-19,18-Dec-19,15,22-Jan-20,14,7,HW
KPWK9472,26-Aug-19,18-Dec-19,15,22-Jan-20,14,5,HW
ZNEZ1910,27-Aug-19,18-Dec-19,15,22-Jan-20,14,3,HW
KPWK2437,26-Aug-19,18-Dec-19,16,22-Jan-20,14,7,HW
KPWK8788,26-Aug-19,18-Dec-19,16,22-Jan-20,14,5,HW
KWFJ1575,26-Aug-19,18-Dec-19,16,22-Jan-20,14,8,HW
KPWN4319,26-Aug-19,18-Dec-19,17,22-Jan-20,14,3,HW
ZNEZ2165,26-Aug-19,18-Dec-19,17,22-Jan-20,14,3,HW
KPWN2027,26-Aug-19,18-Dec-19,18,22-Jan-20,14,4,HW
KPWN6214,27-Aug-19,18-Dec-19,18,22-Jan-20,14,2,HW
ZNEZ4000,26-Aug-19,18-Dec-19,18,22-Jan-20,14,2,HW
KPWK2436,26-Aug-19,18-Dec-19,19,22-Jan-20,14,7,HW
KPWN1779,26-Aug-19,18-Dec-19,19,22-Jan-20,14,4,HW
KPWN4461,26-Aug-19,18-Dec-19,19,22-Jan-20,14,3,HW
