Sow,Date Served,Date Farrowed,Numbers Born Alive,Weaning Date,Numbers Weaned,Sow Parity,Farm
KPOF4041,06-Jan-20,27-Apr-20,19,27-May-20,14,6,EB
KEBEB122,06-Jan-20,28-Apr-20,15,27-May-20,14,3,EB
KPOG6351,06-Jan-20,28-Apr-20,15,27-May-20,14,3,EB
KPOG6390,06-Jan-20,28-Apr-20,15,27-May-20,14,3,EB
PHWP3021,06-Jan-20,28-Apr-20,15,27-May-20,14,1,EB
PHWP3300,06-Jan-20,28-Apr-20,15,27-May-20,14,1,EB
KPOF8335,06-Jan-20,28-Apr-20,16,27-May-20,14,5,EB
KPOF4152,06-Jan-20,28-Apr-20,17,27-May-20,14,5,EB
KPOG6475,06-Jan-20,28-Apr-20,17,27-May-20,14,3,EB
KPOG6464,06-Jan-20,28-Apr-20,18,27-May-20,14,3,EB
KPOG2418,06-Jan-20,28-Apr-20,19,27-May-20,14,4,EB
KPOG6607,06-Jan-20,28-Apr-20,19,27-May-20,14,3,EB
KPOF8423,06-Jan-20,28-Apr-20,20,27-May-20,14,5,EB
KPOG6290,06-Jan-20,28-Apr-20,20,27-May-20,14,3,EB
KPOG6589,06-Jan-20,28-Apr-20,20,27-May-20,14,3,EB
KPOF4077,06-Jan-20,28-Apr-20,21,27-May-20,14,6,EB
KPOG2655,06-Jan-20,28-Apr-20,21,27-May-20,14,4,EB
KPOG6406,06-Jan-20,28-Apr-20,21,27-May-20,14,3,EB
KPOF8621,06-Jan-20,28-Apr-20,23,27-May-20,14,5,EB
KPOG5971,06-Jan-20,28-Apr-20,26,27-May-20,14,3,EB
KPOG6218,06-Jan-20,29-Apr-20,3,27-May-20,14,3,EB
AWFS0863,06-Jan-20,29-Apr-20,8,27-May-20,14,13,EB
KPOG6412,06-Jan-20,29-Apr-20,12,27-May-20,14,3,EB
KPOG6545,06-Jan-20,29-Apr-20,12,27-May-20,14,3,EB
KPOF8340,06-Jan-20,29-Apr-20,13,27-May-20,14,5,EB
PHWP3101,08-Jan-20,29-Apr-20,13,27-May-20,14,1,EB
KPOG2557,06-Jan-20,29-Apr-20,14,27-May-20,14,4,EB
PHWP3342,06-Jan-20,29-Apr-20,14,27-May-20,14,1,EB
KPOG6456,06-Jan-20,29-Apr-20,15,27-May-20,14,3,EB
KPOG6582,06-Jan-20,29-Apr-20,15,27-May-20,14,3,EB
PHWP3272,06-Jan-20,29-Apr-20,15,27-May-20,14,1,EB
KPOG6452,06-Jan-20,29-Apr-20,16,27-May-20,14,3,EB
KPOG6550,06-Jan-20,29-Apr-20,16,27-May-20,14,3,EB
